station_id,station_name,lat,lng,member,casual,rides
RP-002,Warren Park East,42.0045499758771,-87.6806632004763,2286,1198,3484
RP-009,Sheridan Rd & Loyola Ave,42.0010511227261,-87.6612042670737,10092,5984,16076
1015,Public Rack - Peterson Ave & Drake Ave,41.9901222263462,-87.7173270790769,29,5,34
1122.0,Public Rack - Winona St & Elston Ave,41.974347541,-87.7503900332857,155,142,297
1216.0,Public Rack - St Louis & Lincoln,41.9956411812826,-87.7163480029855,82,59,141
23112,St Louis Ave & Foster Ave,41.9760699538877,-87.7159450066937,535,413,948
859,Public Rack - Spaulding Ave & Foster Ave,41.975876860875,-87.71032159425,18,6,24
1018,Public Rack - Kostner Ave & Wrightwood Ave,41.9278841742424,-87.7358801212121,26,19,45
1058,Public Rack - Kildare Ave & North Ave,41.9098540460111,-87.7339943796889,43,10,53
13085,Kedzie Ave & Milwaukee Ave,41.9294020012759,-87.7079129296417,12569,8068,20637
16010,Keystone Ave & Fullerton Ave,41.9245866725693,-87.7278568195972,1594,921,2515
21374,Kilpatrick Ave & Grand Ave,41.9127231532261,-87.7436334502775,629,441,1070
23321,Kostner Ave & Wrightwood Ave,41.9279556881816,-87.7359553422714,873,572,1445
430,Troy St & Grace St,41.9502453441997,-87.7064300742684,4285,2584,6869
504,Public Rack - Milwaukee Ave & Diversey Ave,41.9312644516636,-87.7114390402151,8409,4981,13390
865,Public Rack - Kilbourn Ave & Fullerton Ave,41.924447,-87.73998,2,0,2
1019,Public Rack - Kostner Ave & Diversey Ave,41.9317763826861,-87.7373003326334,187,57,244
1114.0,Public Rack - Montrose Ave & Lavergne Ave,41.9606099616,-87.7516429444,332,462,794
1148.0,Public Rack - Pulaski Rd & Stevens Ave,41.9910861732857,-87.7291175808572,99,89,188
13068,Western Ave & Winnebago Ave,41.9155223528821,-87.6870183257836,12407,6244,18651
13266,Stave St & Armitage Ave,41.9177385310656,-87.6914031421026,16335,8958,25293
13288,Damen Ave & Charleston St,41.9200774258994,-87.6778651817545,16732,9538,26270
15624,Avondale Ave & Irving Park Rd,41.9533951846704,-87.7319975652221,4020,1751,5771
15643,Kosciuszko Park,41.9305799900193,-87.723788376117,3004,1978,4982
16991,Milwaukee Ave & Cuyler Ave,41.9544673254017,-87.7495932429156,857,664,1521
16994,Kilbourn Ave & Milwaukee Ave,41.947077730909,-87.7400066813719,1934,911,2845
21360,Kilbourn Ave & Roscoe St,41.9427228966464,-87.7395571061238,560,686,1246
21462,Lincoln Ave & Peterson Ave,41.9902659077084,-87.7085705148398,2605,854,3459
23165,Cicero Ave & Roscoe Ave,41.942428848211,-87.7473155870644,288,225,513
23172,Kostner Ave & Belmont Ave,41.9391900700024,-87.7371088346396,248,167,415
23190,Karlov Ave & Armitage Ave,41.9174783286405,-87.7289423161834,1500,1228,2728
24150,North Boundary Park,42.0130269049255,-87.7089100634931,804,584,1388
322,Cicero Ave & Grace St,41.9497424608077,-87.7469560351795,798,495,1293
398,Long & Irving Park,41.9530311315601,-87.7621603102059,477,623,1100
428,Milwaukee Ave & Fullerton Ave,41.9246923052578,-87.7005636779608,3974,3475,7449
502,Public Rack - Milwaukee Ave & Addison St,41.9465134402321,-87.7357700090714,38,58,96
506,Public Rack - Lawndale Ave & Diversey Ave,41.931763028363,-87.7192569599165,3572,2026,5598
541,Public Rack - Laramie Ave & Warwick Ave,41.9488126563636,-87.7571375017727,152,300,452
543,Public Rack - Cicero Ave & Roscoe St,41.875807009625,-87.7552869166043,111,67,178
548,Public Rack - Cicero Ave & Altgeld St,41.9257362414444,-87.7464354125556,8,20,28
864,Public Rack - Kedvale Ave & Addison St,41.94717813075,-87.7308219765,1115,707,1822
TA1307000150,Pine Grove Ave & Waveland Ave,41.9494554584816,-87.6464541245819,33773,19387,53160
TA1308000019,Racine Ave & Belmont Ave,41.9397328603437,-87.6588646453421,28157,16049,44206
1053,Public Rack - Grand Ave & Lawndale Ave,41.9035,-87.7204,819,443,1262
1059,Public Rack - Garfield Park Conservatory,41.8865793643333,-87.7166671261667,31,26,57
13022,Streeter Dr & Grand Ave,41.8922774214592,-87.6120462322256,33586,124804,158390
13058,Dayton St & North Ave,41.9105829860995,-87.6494285410983,34149,16366,50515
13128,Clark St & North Ave,41.9119733006782,-87.6319513171341,46447,38585,85032
13136,Damen Ave & Division St,41.903265020128,-87.6784421636798,12137,5763,17900
13143,Damen Ave & Melrose Ave,41.9405949160582,-87.6785065702909,11541,6718,18259
13157,Aberdeen St & Jackson Blvd,41.8777370320954,-87.6547937621808,22456,8683,31139
13158,Peoria St & Jackson Blvd,41.877643360023,-87.6496100258394,25524,8484,34008
13164,Racine Ave & 18th St,41.8583180675409,-87.6564475745618,9043,4354,13397
13192,Halsted St & Dickens Ave,41.9199394718124,-87.6488311080093,41149,23223,64372
13206,Loomis St & Jackson Blvd,41.8779435085299,-87.6620066142703,19605,8524,28129
13243,Milwaukee Ave & Wabansia Ave,41.9126188070894,-87.6813968577632,16761,7299,24060
13248,Ashland Ave & Augusta Blvd,41.8996389551655,-87.667838724431,23447,8532,31979
13256,California Ave & Division St,41.9030286922846,-87.6974746088364,4675,2853,7528
13257,Campbell Ave & North Ave,41.9105348077052,-87.6895547020082,13687,6783,20470
13258,California Ave & North Ave,41.9100422873104,-87.6971648555846,8854,4748,13602
13271,Damen Ave & Clybourn Ave,41.9319271467704,-87.6778497728727,15210,6368,21578
13276,Stockton Dr & Wrightwood Ave,41.9313191847586,-87.6387397724917,47819,29061,76880
15640,Avers Ave & Belmont Ave,41.9394081283227,-87.7235742545594,2877,1930,4807
15650,Spaulding Ave & Armitage Ave,41.9171084936058,-87.7102271025256,12386,6649,19035
15652,Central Park Ave & North Ave,41.9096572825115,-87.7166364623346,2920,1599,4519
15653,Troy St & North Ave,41.9097747702833,-87.7052883910094,2319,1682,4001
15655,Albany Ave & Bloomingdale Ave,41.9140191152559,-87.7051246474072,6759,3625,10384
16907,Central Park Blvd & 5th Ave,41.8756785162245,-87.7154733497652,140,142,282
16912,Cicero Ave & Flournoy St,41.8721296462211,-87.7466273986837,196,216,412
16918,Austin Blvd & Madison St,41.8802818093077,-87.7744543992367,186,235,421
17660,California Ave & Cortez St,41.9003673376487,-87.6967069861227,7270,4317,11587
21304,Lavergne Ave & Division St,41.9021054260086,-87.7508825200694,249,388,637
21544,State St & Chicago Ave,41.8966180911379,-87.6285951040029,38805,15512,54317
23210,Central Park Ave & Washington Blvd,41.8825836021345,-87.7154668939286,111,150,261
23215,Lexington St & California Ave,41.8720778995278,-87.6959799323334,238,182,420
24213,Kedzie Ave & Jackson Blvd,41.877221008408,-87.706177757842,537,596,1133
24220,Homan Ave & Arthington Ave,41.86963,-87.71055,155,410,565
330.0,Keeler Ave & Roosevelt Rd,41.8663930849649,-87.7300132820351,69,177,246
331,Halsted St & Clybourn Ave,41.90966311557,-87.6481280851864,28065,11661,39726
362.0,Lawndale Ave & 16th St,41.8591572427208,-87.7176966873083,9,114,123
364.0,Homan Ave & Fillmore St,41.8681133921782,-87.710895747092,25,61,86
372,Hamlin Ave & Grand Ave,41.9040299694624,-87.7215629983387,305,175,480
411,Francisco Ave & Chicago Ave,41.895744000834,-87.6986438317898,1449,1156,2605
414,Sacramento Blvd & Fulton Ave,41.8865260784336,-87.7016725861393,375,253,628
417,Troy St & Jackson Blvd,41.8775130753023,-87.7048473322132,44,50,94
419,Sacramento Blvd & Polk St,41.8709635775595,-87.7002701159107,145,331,476
422,Albany Ave & 16th St,41.8593537929054,-87.7030223845497,680,750,1430
425,Rockwell St & Cermak Rd,41.8516633409752,-87.6906252249303,2911,1357,4268
500,Public Rack - Monticello Ave & Belmont Ave,41.939445073552,-87.7184504419726,3076,1972,5048
512,Public Rack - California Ave & Cortez St,41.9001325006995,-87.6968113476992,3385,2036,5421
518,Conservatory Dr & Lake St,41.8854650382289,-87.7168708555572,482,707,1189
522,Public Rack - Lawndale Ave & Polk St,41.87076400475,-87.7183287163333,169,205,374
534,Karlov Ave & Madison St,41.8808517094261,-87.727911835004,140,171,311
537,Kenton Ave & Madison St,41.8806157888203,-87.7410389047635,108,227,335
545,Kostner Ave & Adams St,41.8779175488036,-87.7358167212009,403,65,468
624,Dearborn St & Van Buren St,41.8762722814298,-87.629167450058,6590,4689,11279
644,Western Ave & Fillmore St,41.8685731988656,-87.6862306668425,6948,1222,8170
658,Leavitt St & Division St,41.9029980660626,-87.6838164807087,6127,2507,8634
794,Public Rack - Austin Branch Chicago Public Library,41.889161,-87.765738,255,210,465
KA1504000082,Kedzie Ave & Harrison St,41.8736026913259,-87.7048696514208,177,87,264
KA1504000106,Kedzie Ave & Lake St,41.8846291530363,-87.7063124321089,833,560,1393
KA1504000109,Washtenaw Ave & Ogden Ave,41.8619303654252,-87.6934533719936,1778,1001,2779
KA1504000110,Millard Ave & 26th St,41.8445354764464,-87.7159381589333,336,248,584
KA1504000113,Sacramento Blvd & Franklin Blvd,41.890483537153,-87.7026145572207,1310,479,1789
SL-009,Clark St & 9th St (AMLI),41.8708197624389,-87.6312384825981,19096,12854,31950
SL-011,Wells St & Polk St,41.8727431009896,-87.6335449464687,14742,7913,22655
TA1305000002,Wabash Ave & Roosevelt Rd,41.8672035170324,-87.6259632660036,28624,14931,43555
TA1305000003,Fairbanks Ct & Grand Ave,41.8918425040534,-87.6205854642183,20511,15143,35654
